playerId,goalieFullName,gamesStarted,goalsAgainst,goalsAgainstAverage,shutouts,wins,qualityStart,qualityStartsPct,gamesRelievedWins,Vezina Trophies,Stanley Cups,Conn Smythe Trophies,William M. Jennings Trophies,All Stars
8470880,Brian Elliott,496,1290,2.56798,45,279,289,0.582661,11,0,0,0,1,2
8476945,Connor Hellebuyck,496,1281,2.62704,37,275,304,0.612903,1,2,0,0,1,4
8449859,Roger Crozier,496,1446,3.03987,29,206,271,0.54637,2,0,0,1,0,0
8451837,Ron Tugnutt,489,1497,3.04659,26,186,232,0.474437,7,0,0,0,0,1
8475883,Frederik Andersen,481,1218,2.55827,27,295,295,0.613305,4,0,0,0,2,2
8470645,Corey Crawford,474,1146,2.44528,26,260,316,0.666666,2,0,2,0,2,2
8462047,Martin Biron,473,1247,2.61495,28,230,283,0.598308,3,0,0,0,0,0
8474593,Jacob Markstrom,468,1265,2.72682,20,215,266,0.568376,1,0,0,0,0,0
8447715,Guy Hebert,467,1307,2.81194,28,191,251,0.537473,2,0,0,0,0,1
8450343,Pete Peeters,467,1427,3.09045,21,246,193,0.413276,0,1,0,0,0,4
8476883,Andrei Vasilevskiy,467,1199,2.56484,34,293,285,0.610278,1,1,2,1,0,0
8476434,John Gibson,466,1315,2.89633,24,193,272,0.58369,3,0,0,0,1,3
8475660,Cam Talbot,465,1220,2.63485,31,245,287,0.617204,1,0,0,0,0,0
8447449,Jeff Hackett,465,1361,2.90355,26,166,258,0.554838,0,0,0,0,0,0
8449835,Johnny Bower,462,1145,2.49924,32,219,320,0.69264,1,2,4,0,0,4
8448759,Rejean Lemelin,461,1609,3.45865,12,236,200,0.433839,5,0,0,0,1,0
8473461,Steve Mason,458,1211,2.6964,34,205,262,0.572052,5,0,0,0,0,0
8473503,James Reimer,458,1319,2.88085,30,215,268,0.585152,6,0,0,0,0,0
8474889,Martin Jones,449,1199,2.71575,30,236,242,0.538975,2,0,1,0,0,1
8468524,Ilya Bryzgalov,445,1141,2.57846,34,221,273,0.613483,2,0,1,0,0,0
8474550,Antti Niemi,443,1123,2.56532,36,242,256,0.577878,4,0,1,0,0,0
8451076,Jim Rutherford,442,1575,3.65562,14,151,163,0.368778,2,0,0,0,0,0
8446597,Don Edwards,439,1448,3.32339,16,208,183,0.416856,4,1,0,0,0,2
8447755,Denis Herron,428,1578,3.70546,10,146,199,0.464953,3,1,0,0,1,0
8447505,Glen Hanlon,423,1561,3.60557,13,167,175,0.413711,3,0,0,0,0,0
8449784,Phil Myre,418,1481,3.52859,14,149,167,0.399521,1,0,0,0,0,0
8459579,Patrick Lalime,412,1085,2.57911,35,200,227,0.55097,7,0,0,0,0,1
8460703,Tim Thomas,408,1027,2.52064,31,214,274,0.671568,4,2,1,1,1,4
8449853,Gerry Cheevers,407,1174,2.88989,26,227,207,0.508599,0,0,2,0,0,1
8474596,Jake Allen,407,1114,2.76265,24,195,237,0.582309,2,0,1,0,0,0
8450627,Daren Puppa,407,1204,3.03343,19,179,201,0.493857,2,0,0,0,0,1
8455994,Byron Dafoe,399,1051,2.68584,26,171,225,0.563909,0,0,0,0,0,0
8471750,Ben Bishop,397,903,2.32366,33,222,260,0.654911,4,0,0,0,0,1
8447170,Gilles Gilbert,397,1290,3.27368,18,192,159,0.400503,2,0,0,0,0,1
8447709,Glenn Healy,396,1361,3.36697,13,166,170,0.429292,3,0,1,0,0,0
8473404,Niklas Backstrom,394,975,2.49149,28,196,236,0.598984,5,0,0,0,1,0
8446719,Bob Essensa,391,1270,3.1467,18,173,180,0.460358,3,0,0,0,0,0
8452287,Rick Wamsley,391,1287,3.34336,12,204,151,0.386189,4,0,1,0,1,0
8471239,Cory Schneider,389,945,2.43301,26,171,244,0.627249,2,0,0,0,1,1
8446490,Ken Dryden,389,870,2.23756,46,258,256,0.658097,2,5,6,1,0,5
8451143,Bob Sauve,386,1377,3.49163,8,182,138,0.357512,6,1,0,0,1,0
8446011,Jon Casey,384,1246,3.21593,16,170,173,0.45052,5,0,0,0,0,1
8473972,Jonas Hiller,375,960,2.54865,23,197,223,0.594666,4,0,0,0,0,1
8471715,Ondrej Pavelec,374,1069,2.87588,18,156,196,0.524064,0,0,0,0,0,0
8445694,Richard Brodeur,373,1410,3.86276,6,131,135,0.36193,1,0,0,0,0,0
8475311,Darcy Kuemper,368,955,2.61049,31,178,223,0.605978,2,0,1,0,0,0
8456137,Mike Dunham,367,989,2.74044,19,141,207,0.564032,3,0,0,0,1,0
8446831,Stephane Fiset,365,1114,3.0682,16,164,186,0.509589,2,0,1,0,0,0
8473541,Jonathan Bernier,363,1022,2.77408,18,165,221,0.608815,2,0,1,0,0,0
8451860,Chris Terreri,360,1143,3.06594,9,151,173,0.480555,1,0,2,0,0,0
8475852,Petr Mrazek,359,1018,2.80101,25,168,199,0.554317,4,0,0,0,0,0
8456830,Trevor Kidd,356,1014,2.83941,19,140,187,0.52528,2,0,0,0,0,0
8446794,Doug Favell,349,1096,3.17254,18,124,201,0.575931,1,0,0,0,0,0
8448891,Ron Low,345,1463,4.28928,4,102,110,0.31884,2,0,0,0,0,0
8450132,Mike Palmateer,345,1183,3.53395,17,149,155,0.449275,1,0,0,0,0,0
8475215,Robin Lehner,345,929,2.70801,17,152,220,0.637681,2,0,0,0,2,0
8459308,Manny Legace,337,809,2.41015,24,187,198,0.587537,3,0,1,0,0,1
8477424,Juuse Saros,333,878,2.62798,23,182,210,0.63063,1,0,0,0,0,2
8450835,Pat Riggin,330,1135,3.43458,11,153,119,0.360606,2,0,0,0,1,0
8449995,Charlie Hodge,329,894,2.72555,23,147,191,0.580547,2,2,6,0,0,3
8460704,Johan Hedberg,329,977,2.82394,22,161,172,0.522796,8,0,0,0,0,0
8447701,Brian Hayward,329,1241,3.7246,8,143,107,0.325227,2,0,0,0,3,0
8469514,Peter Budaj,329,909,2.69791,18,158,170,0.516717,2,0,0,0,0,0
8449868,Gerry Desjardins,324,1041,3.29037,12,123,146,0.450617,0,0,0,0,0,1
8471306,Thomas Greiss,323,903,2.76874,16,162,192,0.594427,5,0,0,0,1,0
8460516,Dan Cloutier,321,874,2.7704,15,139,164,0.510903,1,0,0,0,0,0
8446082,Tim Cheveldae,321,1116,3.49272,10,149,124,0.386292,0,0,0,0,0,1
8458075,Garth Snow,321,925,2.79767,16,135,164,0.510903,5,0,0,0,0,0
8462055,Marc Denis,320,982,3.01749,16,112,162,0.50625,0,0,0,0,0,0
8458266,Roman Turek,318,734,2.30643,27,159,183,0.575471,3,0,1,0,2,1
8459463,Kevin Weekes,317,903,2.87629,19,105,173,0.545741,0,0,0,0,0,0
8449096,Clint Malarchuk,314,1100,3.47148,12,141,134,0.426751,5,0,0,0,0,0
8475831,Philipp Grubauer,311,814,2.58534,22,158,178,0.572347,5,0,1,0,0,0
8468481,Rick DiPietro,309,871,2.87172,16,130,160,0.517799,1,0,0,0,0,1
8458988,Manny Fernandez,308,775,2.50264,15,143,189,0.613636,2,0,0,0,2,0
8451695,Wayne Stephenson,304,937,3.07077,14,146,145,0.476973,0,0,1,0,0,2
8449959,Bruce Gamble,304,993,3.22578,22,111,170,0.55921,0,0,0,0,0,1
8464999,Mathieu Garon,302,865,2.82969,20,144,161,0.533112,4,0,1,0,0,0
8449866,Denis DeJordy,299,929,3.13561,15,120,163,0.54515,0,1,1,0,0,0
8446829,Mark Fitzpatrick,295,953,3.11981,8,113,143,0.484745,4,0,0,0,0,0
8448700,Michel Larocque,293,978,3.33559,17,160,128,0.43686,4,4,4,0,0,0
8446323,John Davidson,289,1004,3.52703,7,123,131,0.453287,1,0,0,0,0,0
8457791,Damian Rhodes,289,820,2.8375,12,99,149,0.51557,0,0,0,0,0,0
8462052,Brian Boucher,288,822,2.70708,17,120,150,0.520833,4,0,0,0,0,0
8450468,Michel Plasse,283,1058,3.79197,2,92,114,0.402826,2,0,1,0,0,0
8445470,Craig Billington,283,1034,3.63006,9,110,117,0.413427,4,0,0,0,0,1
8445249,Murray Bannerman,282,1051,3.8388,8,116,115,0.407801,1,0,0,0,0,2
8451701,Greg Stefan,282,1068,3.93283,5,115,95,0.336879,0,0,0,0,0,0
8462161,Brent Johnson,279,744,2.62922,14,140,156,0.559139,6,0,0,0,0,0
8462152,Chris Mason,274,754,2.66084,23,137,158,0.576642,5,0,0,0,0,0
8476412,Jordan Binnington,273,756,2.79361,15,145,157,0.575091,0,0,1,0,0,1
8449547,Roland Melanson,271,995,3.63542,6,129,108,0.398523,4,0,3,0,1,0
8450148,Dunc Wilson,267,988,3.7494,8,80,106,0.397003,0,0,0,0,0,0
8446602,Gary Edwards,266,973,3.65331,10,88,98,0.368421,0,0,0,0,0,0
8476899,Matt Murray,264,718,2.79305,15,146,157,0.594696,2,0,2,0,0,0
8452355,Steve Weeks,260,990,3.72953,5,112,89,0.342307,3,0,0,0,0,0
8451595,Doug Soetaert,258,1029,3.96972,6,110,83,0.321705,3,0,1,0,0,0
8469548,Ray Emery,252,697,2.70021,16,145,146,0.579365,6,0,1,0,1,0
8451834,Rick Tabaracci,252,760,2.98907,15,93,118,0.468253,0,0,0,0,0,0
8477293,Antti Raanta,251,623,2.47754,20,139,151,0.601593,5,0,0,0,1,0
8469658,Cristobal Huet,250,625,2.45718,24,129,150,0.6,3,0,1,0,0,1
8476914,Joonas Korpisalo,250,779,3.06347,4,115,134,0.536,4,0,0,0,0,0
8467453,Andrew Raycroft,250,732,2.89108,9,113,128,0.512,3,0,0,0,0,0
8477465,Tristan Jarry,246,650,2.69702,19,136,157,0.638211,4,0,0,0,0,2
8462117,Vesa Toskala,242,679,2.75884,13,129,127,0.524793,2,0,0,0,0,0
8480382,Alexandar Georgiev,241,682,2.85371,15,136,131,0.543568,0,0,0,0,0,1
8450113,Don Simmons,240,701,2.89251,20,100,123,0.5125,1,0,3,0,0,1
8471418,Anton Khudobin,238,603,2.51919,11,114,148,0.621848,5,0,0,0,0,0
8476999,Linus Ullmark,238,598,2.51114,8,138,162,0.680672,0,1,0,0,1,1
8451369,Peter Sidorkiewicz,228,832,3.59577,8,79,78,0.342105,2,0,0,0,0,1
8473607,Michal Neuvirth,228,626,2.71151,11,105,132,0.578947,6,0,0,0,0,0
8451891,Wayne Thomas,227,766,3.34453,10,103,102,0.449339,1,0,0,0,0,1
8446982,Bob Froese,223,694,3.0997,13,128,103,0.461883,3,0,0,0,1,1
8448805,Mario Lessard,222,844,3.75299,9,92,74,0.333333,5,0,0,0,0,1
8458562,Jamie McLennan,220,617,2.67587,13,80,109,0.495454,2,0,0,0,0,0
8449915,Roy Edwards,219,637,2.9203,12,96,132,0.602739,4,0,1,0,0,0
8458615,Steve Shields,218,606,2.66733,10,80,119,0.545871,2,0,0,0,0,0
8479394,Carter Hart,218,625,2.94092,6,96,115,0.527522,0,0,0,0,0,0
8446429,Michel Dion,216,898,4.25615,2,60,67,0.310185,0,0,0,0,0,1
8459252,Fred Brathwaite,215,629,2.72679,15,81,109,0.506976,1,0,0,0,0,0
8469675,Martin Gerber,214,566,2.62847,10,113,124,0.579439,1,0,1,0,0,0
8477967,Thatcher Demko,213,596,2.79235,8,116,125,0.586854,0,0,0,0,0,2
8467511,Antero Niittymaki,211,645,2.95118,5,95,109,0.516587,3,0,0,0,0,0
8451474,Al Smith,209,734,3.46064,10,73,72,0.344497,2,0,0,0,0,1
8446052,Alain Chevrier,209,845,4.15904,2,91,57,0.272727,4,0,0,0,0,0
8478048,Igor Shesterkin,208,503,2.42858,15,135,136,0.653846,2,1,0,0,0,2
8447303,Mario Gosselin,207,800,3.73993,6,91,71,0.342995,1,0,0,0,0,1
8475622,Carter Hutton,207,580,2.76034,13,94,117,0.565217,2,0,0,0,0,0
8467913,Alex Auld,207,606,2.80006,6,91,116,0.560386,2,0,0,0,0,0
8468651,Roman Cechmanek,205,419,2.08004,25,110,134,0.653658,1,0,0,0,1,0
8460715,John Grahame,202,574,2.78577,12,97,104,0.514851,3,0,1,0,0,0
8466290,David Aebischer,198,513,2.51686,13,106,114,0.575757,0,0,1,0,0,0
8470147,Curtis McElhinney,198,615,2.83444,12,94,109,0.550505,5,0,2,0,0,0
8445458,Allan Bester,197,785,4.00836,7,73,76,0.385786,2,0,0,0,0,0
8446089,Jacques Cloutier,197,776,3.63642,3,82,66,0.335025,8,0,0,0,0,0
8445462,Daniel Berthiaume,195,714,3.67607,5,81,72,0.36923,1,0,0,0,0,0
8447066,John Garrett,193,837,4.27855,1,68,62,0.321243,2,0,0,0,0,1
8451655,Ed Staniowski,193,818,4.07312,2,67,70,0.362694,1,0,0,0,0,0
8450138,Gilles Villemure,190,542,2.81278,13,100,107,0.563157,0,1,0,0,0,3
8478009,Ilya Sorokin,188,476,2.53706,18,95,128,0.680851,0,0,0,0,0,1
8448410,Doug Keans,187,666,3.51342,4,96,66,0.352941,4,0,0,0,0,0
8460497,Jamie Storr,186,488,2.54352,16,85,106,0.569892,4,0,0,0,0,0
8449825,Les Binkley,185,574,3.12336,11,58,98,0.529729,2,0,0,0,0,0
8449851,Ed Chadwick,184,541,2.94226,14,57,95,0.516304,0,0,0,0,0,0
8478406,Mackenzie Blackwood,184,564,3.07629,10,75,100,0.543478,0,0,0,0,0,0
8479979,Jake Oettinger,184,461,2.50516,10,113,111,0.60326,1,0,0,0,0,1
8462102,Jean-Sebastien Aubin,182,547,2.93082,7,80,100,0.54945,6,0,0,0,0,0
8469152,Ty Conklin,182,516,2.68586,17,96,95,0.521978,2,0,0,0,0,0
8468540,Dan Ellis,181,526,2.79152,15,87,96,0.530386,3,0,0,0,0,0
8478007,Elvis Merzlikins,177,558,3.20354,10,68,91,0.514124,1,0,0,0,0,0
8449618,Eddie Mio,174,705,4.06516,4,64,57,0.327586,0,0,0,0,0,0
8479496,David Rittich,173,491,2.77965,7,92,98,0.566473,1,0,0,0,0,1
8465093,Robert Esche,170,464,2.74561,10,78,92,0.541176,1,0,0,0,1,0
8457866,Dominic Roussel,169,555,3.12201,7,77,78,0.461538,5,0,0,0,0,0
8446488,Dave Dryden,169,554,3.19625,9,69,75,0.443786,1,0,0,0,0,1
8448886,Pete Lopresti,165,668,4.07163,5,43,53,0.321212,0,0,0,0,0,0
8469461,Pascal Leclaire,164,453,2.88963,10,61,86,0.52439,0,0,0,0,0,0
8473434,Chad Johnson,164,468,2.7264,8,80,97,0.591463,0,0,0,0,0,0
8475789,Jack Campbell,164,455,2.76334,10,93,89,0.542682,0,0,0,0,0,1
8450834,Vincent Riendeau,164,573,3.29826,5,85,68,0.414634,0,0,0,0,0,0
8458968,Jim Carey,164,416,2.58172,16,79,81,0.493902,1,1,0,0,0,0
8448275,Al Jensen,163,557,3.35888,8,95,62,0.380368,3,0,0,0,1,0
8459365,Mikhail Shtalenkov,160,480,2.89003,8,62,74,0.4625,0,0,0,0,0,0
8478492,Ilya Samsonov,159,444,2.76299,13,102,87,0.547169,3,0,0,0,0,0
8452248,Darcy Wakaluk,158,524,3.22271,9,67,69,0.436708,4,0,0,0,0,0
8475361,Jonas Gustavsson,157,466,2.87625,7,72,79,0.503184,2,0,0,0,0,0
8475156,Mikko Koskinen,157,470,3.00559,6,85,85,0.541401,1,0,0,0,0,0
8466339,Scott Clemmensen,154,468,2.79129,7,73,82,0.532467,3,0,0,0,0,0
8448853,Pelle Lindbergh,152,503,3.30735,7,87,61,0.401315,1,1,0,0,0,2
8477970,Vitek Vanecek,152,412,2.70452,9,91,82,0.539473,1,0,0,0,0,0
8451308,Richard Sevigny,151,507,3.21475,5,80,73,0.483443,2,1,1,0,0,0
8471774,Alex Stalock,148,432,2.69661,11,70,86,0.581081,5,0,0,0,0,0
8467391,Jason LaBarbera,148,457,2.85184,6,62,83,0.56081,2,0,0,0,0,0
8476341,Anton Forsberg,147,435,3.10276,5,63,85,0.578231,1,0,0,0,0,0
8476234,Keith Kinkaid,146,448,2.90879,8,70,75,0.513698,3,0,0,0,0,0
8471403,Karri Ramo,146,414,2.84852,5,60,83,0.568493,1,0,0,0,0,0
8475195,Anders Nilsson,144,454,3.06048,6,59,76,0.527777,1,0,0,0,0,0
8479193,Casey DeSmith,142,420,2.82397,10,70,82,0.577464,1,0,0,0,0,0
8452576,Wendell Young,141,618,3.94347,2,59,49,0.347517,5,0,2,0,0,0
8448175,Gary Inness,140,494,3.4112,2,58,67,0.478571,1,0,0,0,0,0
8452440,Kay Whitmore,140,508,3.5455,4,60,56,0.4,0,0,0,0,0,0
8450108,Al Rollins,138,426,3.08826,6,36,81,0.586956,0,1,1,0,0,1
8449286,Bob Mason,137,500,3.76183,1,55,61,0.445255,1,0,0,0,0,0
8450019,Harry Lumley,136,400,2.94696,9,56,75,0.55147,0,1,1,0,0,3
8450743,Jeff Reese,136,529,3.66209,5,53,56,0.411764,3,0,0,0,0,0
8471219,Al Montoya,136,405,2.64995,7,67,82,0.602941,3,0,0,0,0,0
8458080,Tommy Soderstrom,135,496,3.63429,10,45,53,0.392592,2,0,0,0,0,0
8473523,Jhonas Enroth,132,397,2.83944,7,50,74,0.560606,3,0,0,0,0,0
8478039,Kaapo Kahkonen,131,427,3.33329,4,49,72,0.549618,2,0,0,0,0,0
8452205,Mike Veisor,131,531,4.09466,5,41,54,0.412213,1,0,0,0,0,0
8478872,Karel Vejmelka,131,452,3.49745,5,44,62,0.473282,1,0,0,0,0,0
8475681,Ben Scrivens,130,387,2.9185,7,47,69,0.530769,0,0,0,0,0,0
8478470,Sam Montembeault,128,451,3.38352,1,49,71,0.554687,2,0,0,0,0,0
8475839,Louis Domingue,127,392,3.02094,2,60,72,0.566929,0,0,0,0,0,0
8474636,Michael Hutchinson,127,395,2.93627,6,57,61,0.480314,3,0,0,0,0,0
8478024,Ville Husso,127,376,3.01133,7,69,62,0.488188,1,0,0,0,0,0
8475663,Eddie Lack,126,349,2.61867,9,56,68,0.539682,2,0,0,0,0,0
8480280,Jeremy Swayman,125,295,2.33793,12,79,79,0.632,1,0,0,0,1,1
8477968,Alex Nedeljkovic,125,386,2.9608,8,60,66,0.528,0,0,0,0,0,0
8470216,Josh Harding,124,327,2.45434,10,60,78,0.629032,3,0,0,0,0,0
8478499,Adin Hill,123,332,2.68484,7,64,70,0.569105,2,0,1,0,0,0
8445695,Gary Bromley,122,425,3.4366,7,54,52,0.426229,2,0,0,0,0,0
8449804,Hank Bassen,121,372,2.97267,5,43,60,0.495867,0,0,0,0,0,0
8468166,Curtis Sanford,120,333,2.71698,6,47,65,0.541666,1,0,0,0,0,0
8451626,Rick St. Croix,119,453,3.73513,2,49,42,0.352941,1,0,0,0,0,0
8476316,Laurent Brossoit,118,334,2.63768,6,64,69,0.584745,2,0,1,0,0,0
8479973,Stuart Skinner,118,317,2.69471,4,72,69,0.584745,0,0,0,0,0,1
8457969,Corey Schwab,118,360,2.8898,6,42,58,0.491525,3,0,1,0,0,0
8477237,Mike Condon,117,333,2.79486,6,45,64,0.547008,2,0,0,0,0,0
8469636,Pasi Nurminen,116,338,2.87271,5,48,61,0.525862,0,0,0,0,0,0
8450390,Frank Pietrangelo,116,490,4.11904,1,46,41,0.353448,1,0,1,0,0,0
8450727,Eldon Reddick,116,443,3.71198,0,46,39,0.336206,2,0,1,0,0,0
8450993,Roberto Romano,114,471,3.98765,4,46,38,0.333333,4,0,0,0,0,0
8475809,Scott Wedgewood,114,360,2.98164,6,48,58,0.508771,2,0,0,0,0,0
8475717,Calvin Pickard,113,362,2.93491,5,47,60,0.530973,3,0,0,0,0,0
8474152,Scott Darling,112,319,2.71805,4,54,62,0.553571,0,0,1,0,0,0
8469732,Joey MacDonald,112,367,3.0035,2,44,58,0.517857,1,0,0,0,0,0
8451845,Kari Takko,112,475,3.90155,1,37,43,0.383928,4,0,0,0,0,0
8458584,Milan Hnilicka,107,359,3.30928,5,29,52,0.485981,1,0,0,0,0,0
8477180,Aaron Dell,106,335,2.92406,5,50,59,0.556603,2,0,0,0,0,0
8448219,Bob Janecyk,106,435,4.15232,2,44,28,0.26415,0,0,0,0,0,0
8450058,Marcel Paille,105,362,3.42561,2,32,53,0.504761,0,0,0,0,0,0
8464715,Peter Skudra,105,326,2.73097,6,51,60,0.571428,7,0,0,0,0,0
8448207,Pat Jablonski,104,413,3.73558,1,28,35,0.336538,2,0,0,0,0,0
8447344,Ron Grahame,104,409,3.79503,5,50,27,0.259615,3,0,0,0,0,0
8452519,Bernie Wolfe,104,424,4.17663,1,20,36,0.346153,1,0,0,0,0,0
8479406,Filip Gustavsson,103,289,2.72787,6,52,59,0.572815,1,0,0,0,0,0
8450114,Gary Simmons,102,366,3.57197,5,30,42,0.411764,0,0,0,0,0,0
8474765,Anders Lindback,102,327,2.86671,3,45,55,0.539215,4,0,0,0,0,0
8479292,Charlie Lindgren,102,290,2.79231,8,53,61,0.598039,2,0,0,0,0,0
