playerId,goalieFullName,gamesStarted,goalsAgainst,savePct,goalsAgainstAverage,shutouts,wins,qualityStart,qualityStartsPct,gamesRelievedWins,Vezina Trophies,Stanley Cups,Conn Smythe Trophies,William M. Jennings Trophies,All Stars,Score,Log_Score
8462147,Miikka Kiprusoff,606,1500,0.91235,2.4883,44,319,370,0.610561,2,1,0,0,1,1,4.618392506419892,1.7260455921048234
8470860,Jaroslav Halak,555,1390,0.91521,2.5043,53,295,335,0.603603,2,0,0,0,2,1,4.576154873026824,1.718499448005581
8475883,Frederik Andersen,481,1218,0.91577,2.55827,27,295,295,0.613305,4,0,0,0,2,2,4.532621986054864,1.7106618416931896
8460705,Evgeni Nabokov,683,1630,0.9114,2.43577,59,353,402,0.588579,2,0,0,0,0,2,4.52575470368058,1.709419836026402
8476945,Connor Hellebuyck,496,1281,0.91682,2.62704,37,275,304,0.612903,1,2,0,0,1,4,4.495996381888129,1.7040198966025333
8448382,Curtis Joseph,916,2516,0.9061,2.79276,51,454,495,0.540393,1,0,0,0,0,2,4.484447782038785,1.7019164108172324
8469608,Mike Smith,645,1720,0.91219,2.69734,44,299,379,0.587596,5,0,0,0,0,2,4.424746483488593,1.6909711671804124
8471750,Ben Bishop,397,903,0.92051,2.32366,33,222,260,0.654911,4,0,0,0,0,1,4.356345203157976,1.6782818774245185
8460535,Jose Theodore,612,1635,0.90908,2.67988,33,286,369,0.602941,4,1,0,0,0,0,4.348470839467172,1.676810695653677
8474550,Antti Niemi,443,1123,0.91165,2.56532,36,242,256,0.577878,4,0,1,0,0,0,4.3175314220564465,1.6710091772532534
8452157,John Vanbiesbrouck,841,2502,0.89872,2.97534,40,374,417,0.495838,2,1,0,0,0,3,4.292885883518531,1.6663636327565126
8450651,Bill Ranford,613,2042,0.88824,3.41009,15,240,281,0.458401,3,0,2,1,0,1,4.284305461063464,1.664741193668908
8460612,Marty Turco,516,1216,0.90957,2.35693,41,275,298,0.577519,3,0,0,0,0,3,4.281525348552986,1.6642149477683763
8467950,Craig Anderson,669,1916,0.91195,2.85774,43,319,401,0.599402,4,0,0,0,0,0,4.264186163445214,1.6609265587938025
8473404,Niklas Backstrom,394,975,0.91441,2.49149,28,196,236,0.598984,5,0,0,0,1,0,4.2608651634677175,1.6602954929710223
8459308,Manny Legace,337,809,0.91159,2.41015,24,187,198,0.587537,3,0,1,0,0,1,4.234122707708626,1.6551992481794573
8473575,Semyon Varlamov,583,1543,0.91597,2.64309,41,286,372,0.638078,3,0,0,0,0,0,4.212657196414456,1.6510897442556962
8459579,Patrick Lalime,412,1085,0.90457,2.57911,35,200,227,0.55097,7,0,0,0,0,1,4.1992237313565495,1.6485093320122177
8475831,Philipp Grubauer,311,814,0.9105,2.58534,22,158,178,0.572347,5,0,1,0,0,0,4.189583657314974,1.646653473789462
8471227,Devan Dubnyk,514,1338,0.91385,2.60711,33,253,304,0.591439,4,0,0,0,0,3,4.155667538459775,1.6400966024820356
8468524,Ilya Bryzgalov,445,1141,0.9123,2.57846,34,221,273,0.613483,2,0,1,0,0,0,4.139452959574942,1.6369466457049415
8470140,Kari Lehtonen,619,1662,0.91215,2.70698,38,310,370,0.597738,3,0,0,0,0,0,4.137504441099548,1.63656744426958
8447775,Ron Hextall,588,1723,0.89465,2.97593,23,296,275,0.467687,1,1,0,1,0,1,4.120924755922774,1.6333350391334065
8449979,Ed Giacomin,599,1672,0.90235,2.81949,54,290,324,0.540901,0,1,0,0,0,6,4.104057701752292,1.630035851180837
8449859,Roger Crozier,496,1446,0.90275,3.03987,29,206,271,0.54637,2,0,0,1,0,0,4.077381416714601,1.6247956595398263
8471239,Cory Schneider,389,945,0.91791,2.43301,26,171,244,0.627249,2,0,0,0,1,1,4.049149582350429,1.6192198295719062
8475311,Darcy Kuemper,368,955,0.91404,2.61049,31,178,223,0.605978,2,0,1,0,0,0,4.020756664498434,1.6135806523247835
8458988,Manny Fernandez,308,775,0.91196,2.50264,15,143,189,0.613636,2,0,0,0,2,0,4.020708189377865,1.613570997334944
8473461,Steve Mason,458,1211,0.91068,2.6964,34,205,262,0.572052,5,0,0,0,0,0,3.9915043547100666,1.6077373382190983
8473503,James Reimer,458,1319,0.91028,2.88085,30,215,268,0.585152,6,0,0,0,0,0,3.989983717847188,1.6074326468016285
8450833,Mike Richter,648,1840,0.90426,2.89119,24,301,351,0.541666,1,0,1,0,0,3,3.9805056345724124,1.6055314189291
8471306,Thomas Greiss,323,903,0.91122,2.76874,16,162,192,0.594427,5,0,0,0,1,0,3.952622964624206,1.5999173280807657
